Date,Open,High,Low,Close,Volume,Crypto
2022-08-15 00:00:00+00:00,20052.396484375,20744.75390625,19775.427734375,20020.146484375,29132802114,BTC-GBP
2022-08-16 00:00:00+00:00,20011.158203125,20117.96875,19611.75,19746.41796875,22946414248,BTC-GBP
2022-08-17 00:00:00+00:00,19744.78515625,20156.861328125,19290.984375,19372.962890625,25678660187,BTC-GBP
2022-08-18 00:00:00+00:00,19377.146484375,19557.1328125,19420.90625,19456.314453125,19904631902,BTC-GBP
2022-08-19 00:00:00+00:00,19456.794921875,19456.794921875,17642.62890625,17649.98828125,34247027062,BTC-GBP
2022-08-20 00:00:00+00:00,17646.005859375,18048.775390625,17631.11328125,17892.6015625,23327834906,BTC-GBP
2022-08-21 00:00:00+00:00,17887.810546875,18317.607421875,17839.4609375,18203.71875,19529374118,BTC-GBP
2022-08-22 00:00:00+00:00,18201.47265625,18201.47265625,17752.763671875,18187.8515625,26914718954,BTC-GBP
2022-08-23 00:00:00+00:00,18189.669921875,18239.58984375,17846.380859375,18197.80078125,26946870033,BTC-GBP
2022-08-24 00:00:00+00:00,18196.419921875,18466.798828125,17954.458984375,18146.20703125,27108817156,BTC-GBP
2022-08-25 00:00:00+00:00,18146.580078125,18410.369140625,18098.23828125,18270.21875,26244305429,BTC-GBP
2022-08-26 00:00:00+00:00,18266.142578125,18377.08984375,17215.796875,17269.03125,36078085620,BTC-GBP
2022-08-27 00:00:00+00:00,17271.130859375,17337.865234375,16928.82421875,17057.5234375,25632348712,BTC-GBP
2022-08-28 00:00:00+00:00,17056.923828125,17140.349609375,16780.8515625,16780.8515625,20844149517,BTC-GBP
2022-08-29 00:00:00+00:00,16779.4296875,17380.671875,16762.4140625,17316.74609375,27844201898,BTC-GBP
2022-08-30 00:00:00+00:00,17317.2734375,17536.763671875,16838.095703125,16981.009765625,29578619533,BTC-GBP
2022-08-31 00:00:00+00:00,16983.388671875,17481.490234375,16983.388671875,17288.7109375,28649786053,BTC-GBP
2022-09-01 00:00:00+00:00,17289.34375,17428.041015625,17029.869140625,17430.5859375,26138363223,BTC-GBP
2022-09-02 00:00:00+00:00,17429.662109375,17620.669921875,17214.96875,17343.146484375,25293319349,BTC-GBP
2022-09-03 00:00:00+00:00,17343.1015625,17401.54296875,17107.4296875,17223.572265625,20507226799,BTC-GBP
2022-09-04 00:00:00+00:00,17223.90625,17426.109375,17053.986328125,17420.939453125,22004949408,BTC-GBP
2022-09-05 00:00:00+00:00,17422.748046875,17440.330078125,17115.92578125,17130.70703125,24913471771,BTC-GBP
2022-09-06 00:00:00+00:00,17135.3359375,17397.3828125,16321.275390625,16365.6943359375,37708291778,BTC-GBP
2022-09-07 00:00:00+00:00,16365.7080078125,16852.373046875,16253.630859375,16745.6796875,30591175051,BTC-GBP
2022-09-08 00:00:00+00:00,16745.345703125,16877.40625,16635.962890625,16779.08984375,27946126747,BTC-GBP
2022-09-09 00:00:00+00:00,16777.6171875,18487.03125,16763.09375,18436.796875,41794886385,BTC-GBP
